right_knee_angle,right_elbow_angle,right_foot_height,right_shoulder_height
177.0,135.0,540.0,310.0
177.0,136.0,540.0,310.0
177.0,137.0,540.0,310.0
178.0,137.0,541.0,311.0
177.0,137.0,541.0,312.0
178.0,138.0,541.0,312.0
177.0,138.0,541.0,312.0
178.0,139.0,542.0,313.0
178.0,138.0,542.0,313.0
178.0,138.0,542.0,313.0
178.0,138.0,542.0,313.0
178.0,138.0,542.0,314.0
178.0,137.0,542.0,314.0
179.0,136.0,542.0,316.0
179.0,137.0,542.0,317.0
179.0,138.0,542.0,319.0
179.0,141.0,542.0,321.0
179.0,142.0,542.0,323.0
178.0,144.0,542.0,326.0
177.0,144.0,542.0,328.0
176.0,146.0,542.0,330.0
170.0,153.0,540.0,340.0
159.0,161.0,541.0,349.0
157.0,159.0,540.0,349.0
150.0,161.0,538.0,349.0
151.0,163.0,533.0,352.0
153.0,167.0,526.0,356.0
159.0,169.0,516.0,361.0
166.0,170.0,511.0,366.0
171.0,171.0,503.0,369.0
173.0,169.0,511.0,376.0
174.0,168.0,513.0,380.0
170.0,168.0,512.0,386.0
166.0,169.0,514.0,392.0
164.0,168.0,516.0,395.0
165.0,170.0,516.0,400.0
168.0,168.0,516.0,403.0
167.0,169.0,517.0,406.0
168.0,169.0,520.0,407.0
167.0,170.0,521.0,408.0
169.0,169.0,522.0,407.0
168.0,171.0,523.0,408.0
168.0,173.0,521.0,408.0
168.0,175.0,516.0,409.0
169.0,175.0,514.0,408.0
168.0,176.0,514.0,408.0
168.0,176.0,515.0,408.0
168.0,176.0,515.0,409.0
166.0,176.0,514.0,409.0
169.0,178.0,518.0,408.0
169.0,182.0,518.0,408.0
165.0,184.0,538.0,408.0
162.0,185.0,532.0,405.0
160.0,184.0,537.0,400.0
155.0,186.0,533.0,396.0
156.0,186.0,532.0,392.0
153.0,185.0,544.0,387.0
153.0,186.0,538.0,381.0
151.0,184.0,535.0,375.0
150.0,186.0,538.0,370.0
150.0,188.0,541.0,364.0
155.0,188.0,546.0,357.0
153.0,196.0,550.0,349.0
147.0,189.0,552.0,341.0
143.0,188.0,554.0,332.0
144.0,185.0,554.0,324.0
148.0,185.0,555.0,316.0
155.0,190.0,558.0,310.0
160.0,192.0,558.0,305.0
160.0,201.0,557.0,301.0
158.0,197.0,557.0,298.0
159.0,191.0,556.0,295.0
159.0,159.0,556.0,292.0
160.0,51.0,556.0,294.0
157.0,43.0,552.0,293.0
161.0,0.0,552.0,294.0
166.0,323.0,555.0,295.0
165.0,231.0,555.0,296.0
155.0,203.0,552.0,298.0
108.0,198.0,528.0,301.0
41.0,194.0,488.0,311.0
1.0,189.0,486.0,321.0
97.0,184.0,553.0,324.0
166.0,182.0,599.0,324.0
174.0,181.0,481.0,322.0
122.0,188.0,450.0,321.0
31.0,176.0,411.0,300.0
11.0,179.0,387.0,287.0
270.0,177.0,335.0,281.0
272.0,179.0,328.0,277.0
208.0,179.0,277.0,271.0
237.0,178.0,305.0,268.0
246.0,184.0,327.0,266.0
257.0,186.0,335.0,268.0
239.0,190.0,348.0,270.0
220.0,195.0,356.0,271.0
241.0,197.0,365.0,277.0
230.0,185.0,398.0,287.0
240.0,194.0,408.0,297.0
249.0,174.0,428.0,303.0
223.0,150.0,452.0,304.0
204.0,149.0,468.0,304.0
204.0,144.0,482.0,303.0
200.0,150.0,502.0,302.0
189.0,152.0,523.0,301.0
186.0,158.0,538.0,300.0
182.0,163.0,555.0,300.0
177.0,169.0,580.0,300.0
174.0,174.0,594.0,300.0
172.0,177.0,600.0,299.0
172.0,182.0,609.0,299.0
175.0,184.0,626.0,300.0
175.0,186.0,635.0,300.0
174.0,187.0,639.0,301.0
171.0,188.0,642.0,302.0
171.0,189.0,642.0,304.0
169.0,191.0,642.0,305.0
167.0,194.0,643.0,306.0
167.0,194.0,643.0,306.0
167.0,194.0,644.0,306.0
167.0,195.0,643.0,305.0
168.0,190.0,643.0,305.0
169.0,188.0,644.0,303.0
169.0,187.0,644.0,303.0
169.0,182.0,646.0,302.0
169.0,179.0,646.0,302.0
169.0,178.0,646.0,302.0
170.0,176.0,646.0,302.0
170.0,176.0,645.0,302.0
170.0,172.0,645.0,303.0
170.0,171.0,644.0,303.0
170.0,171.0,644.0,303.0
170.0,171.0,644.0,303.0
170.0,170.0,644.0,304.0
170.0,171.0,644.0,305.0
170.0,170.0,644.0,306.0
170.0,167.0,644.0,307.0
170.0,163.0,644.0,309.0
170.0,156.0,642.0,310.0
171.0,154.0,642.0,311.0
172.0,151.0,640.0,311.0
172.0,146.0,634.0,311.0
172.0,145.0,629.0,310.0
171.0,137.0,624.0,307.0
170.0,130.0,622.0,303.0
168.0,122.0,619.0,299.0
167.0,116.0,616.0,298.0
167.0,111.0,613.0,298.0
166.0,106.0,601.0,296.0
173.0,101.0,594.0,296.0
